source,retrieved_at,ranking_scope,ranking_year,ranking,global_rank,name,country,sector,subject_area_code,data_period_start_year,data_period_end_year
scimago,2026-07-19T14:07:08+00:00,overall,2014,2363,4400,Universidade do Vale do Itajai,BRA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2366,4403,Chongqing University of Technology,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2366,4403,Shanxi Normal University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2366,4403,Yunnan Normal University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2369,4406,East China Institute of Technology,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2369,4406,Jimma University,ETH,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2371,4408,Bogor Agricultural University,IDN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2372,4409,Klaipeda University,LTU,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2372,4409,Universidad Autonoma de Zacatecas,MEX,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2374,4411,Universidad Nacional de Quilmes,ARG,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2374,4411,Universidade Federal do Amazonas,BRA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2376,4417,Lanzhou Jiaotong University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2377,4418,Alliant International University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2377,4418,Manonmaniam Sundaranar University,IND,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2377,4418,Universite Mohamed Khider de Biskra,DZA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2380,4424,Beijing Information Science and Technology University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2380,4424,Quinnipiac University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2382,4427,Assam University,IND,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2382,4427,Changshu Institute of Technology,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2382,4427,Dezhou University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2385,4430,Luoyang Normal University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2385,4430,"Universidad Iberoamericana, Mexico",MEX,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2387,4432,University of Technology and Life Sciences,POL,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2388,4434,Jawaharlal Institute of Postgraduate Medical Education and Research,IND,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2388,4434,Jiangxi Science and Technology Normal University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2388,4434,Mugla University,TUR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2391,4437,Guangdong Ocean University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2392,4440,University of Dar es Salaam,TZA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2393,4442,University of Gondar,ETH,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2394,4444,Universite Abou Bekr Belkaid Tlemcen,DZA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2394,4444,University of Uyo,NGA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2396,4446,Indiana University of Pennsylvania,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2397,4448,Kurdistan University of Medical Sciences,IRN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2397,4448,Universidade Federal do Triangulo Mineiro,BRA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2397,4448,University of West Hungary,HUN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2400,4452,Shanghai University of Electric Power,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2400,4452,University of Agriculture in Krakow,POL,Universities,0,2008.0,2012.0
